Student_ID,Age,Prior_Knowledge,Current_Mastery,Quiz_Score,Assignment_Score,Study_Time_Hours,Difficulty_Preference,Learning_Speed,Interest_Level,Concept_Completed,Concept_Current,Concept_Next,Mastery_Growth,Completion_Time,Learning_Objective
S00063,26,0.093,0.648,64.6,52.5,27.7,Medium,Slow,2,Error Handling,OOP,Data Structures,1.0,7.3,Deep Learning
S00064,29,0.407,0.454,48.5,49.5,11.4,Medium,Average,5,Error Handling,OOP,Data Structures,0.595,8.8,Deep Learning
S00065,28,0.694,0.537,56.2,60.6,5.9,Easy,Fast,4,Dictionaries,File I/O,Error Handling,0.425,7.3,Deep Learning
S00066,28,0.438,0.512,42.6,64.2,7.5,Medium,Average,2,Dictionaries,File I/O,Error Handling,0.454,7.3,Deep Learning
S00067,17,0.229,0.467,31.5,47.0,11.4,Hard,Slow,5,Dictionaries,File I/O,Error Handling,0.607,13.2,Deep Learning
S00068,31,0.354,0.372,44.0,43.5,7.5,Medium,Fast,3,File I/O,Error Handling,OOP,0.509,5.3,Deep Learning
S00069,18,0.434,0.429,45.7,43.9,2.5,Medium,Average,4,Conditionals,Loops,Functions,0.371,8.3,Deep Learning
S00070,32,0.396,0.324,30.8,18.1,3.0,Hard,Slow,3,Strings,Lists & Collections,Dictionaries,0.198,15.8,Deep Learning
S00071,31,0.639,0.489,44.7,48.9,7.8,Medium,Slow,4,Data Structures,Recursion,Algorithms,0.547,15.3,Deep Learning
S00072,20,0.517,0.592,64.1,47.0,16.5,Medium,Slow,5,Data Structures,Recursion,Algorithms,0.754,14.3,Deep Learning
S00073,29,0.787,0.672,67.2,60.4,8.0,Easy,Slow,2,NumPy,Pandas,Data Visualization,0.42,14.1,Deep Learning
S00074,22,0.693,0.589,59.4,59.3,3.6,Hard,Slow,3,Dictionaries,File I/O,Error Handling,0.319,16.4,Deep Learning
S00075,34,0.054,0.576,59.6,52.6,11.9,Easy,Slow,1,Loops,Functions,Strings,0.614,9.3,Deep Learning
S00076,24,0.821,0.726,85.2,68.9,5.7,Medium,Average,5,OOP,Data Structures,Recursion,0.449,10.3,Deep Learning
S00077,16,0.375,0.367,41.1,36.6,4.0,Easy,Average,1,Functions,Strings,Lists & Collections,0.273,9.3,Deep Learning
S00078,26,0.3,0.38,48.4,28.5,6.2,Easy,Average,2,Conditionals,Loops,Functions,0.365,7.9,Deep Learning
S00079,26,0.473,0.343,15.7,21.9,3.6,Easy,Average,3,File I/O,Error Handling,OOP,0.234,9.9,Deep Learning
S00080,16,0.428,0.711,75.1,66.2,12.6,Medium,Average,2,Strings,Lists & Collections,Dictionaries,0.545,5.2,Deep Learning
S00081,24,0.44,0.664,66.9,62.7,11.4,Hard,Average,3,File I/O,Error Handling,OOP,0.467,9.4,Deep Learning
S00082,16,0.675,0.516,58.5,52.4,4.2,Easy,Average,2,Strings,Lists & Collections,Dictionaries,0.411,7.5,Deep Learning
S00083,23,0.281,0.514,47.2,66.0,11.2,Hard,Average,1,Dictionaries,File I/O,Error Handling,0.52,8.8,Deep Learning
S00084,31,0.033,0.43,39.9,39.4,8.9,Hard,Average,5,Conditionals,Loops,Functions,0.364,9.0,Deep Learning
S00085,29,0.226,0.266,19.6,37.7,7.8,Easy,Fast,3,Functions,Strings,Lists & Collections,0.365,5.5,Deep Learning
S00086,16,0.465,0.685,64.6,68.3,22.7,Medium,Average,3,Recursion,Algorithms,Complexity Analysis,0.85,8.5,Deep Learning
S00087,29,0.456,0.37,41.6,61.4,1.2,Hard,Average,2,File I/O,Error Handling,OOP,0.216,12.4,Deep Learning
S00088,26,0.637,0.655,56.4,68.6,9.4,Easy,Fast,5,Complexity Analysis,NumPy,Pandas,0.644,6.3,Deep Learning
S00089,21,0.325,0.638,72.5,72.5,13.7,Easy,Slow,3,Recursion,Algorithms,Complexity Analysis,0.488,17.3,Deep Learning
S00090,26,0.092,0.403,39.2,24.6,8.5,Hard,Average,2,Conditionals,Loops,Functions,0.387,10.3,Deep Learning
S00091,17,0.555,0.51,41.1,61.7,4.9,Easy,Fast,5,Dictionaries,File I/O,Error Handling,0.396,7.1,Deep Learning
S00092,21,0.248,0.505,60.1,42.9,7.4,Hard,Average,2,Lists & Collections,Dictionaries,File I/O,0.525,10.6,Deep Learning
S00093,29,0.421,0.739,72.0,65.6,18.0,Medium,Average,5,OOP,Data Structures,Recursion,0.796,6.1,Deep Learning
S00094,25,0.904,0.735,75.6,94.5,15.4,Easy,Average,2,Statistics,ML Basics,Neural Networks,0.63,11.2,Deep Learning
S00095,20,0.339,0.74,68.9,66.3,18.7,Hard,Average,2,OOP,Data Structures,Recursion,0.83,9.8,Deep Learning
S00096,24,0.343,0.446,59.3,31.5,8.1,Medium,Average,2,File I/O,Error Handling,OOP,0.478,12.1,Deep Learning
S00097,26,0.436,0.449,40.5,35.3,3.9,Medium,Slow,2,Loops,Functions,Strings,0.321,11.2,Deep Learning
S00098,25,0.332,0.258,25.5,43.8,4.5,Easy,Average,2,Loops,Functions,Strings,0.389,8.5,Deep Learning
S00099,27,0.805,0.528,51.5,49.0,4.2,Medium,Fast,4,Error Handling,OOP,Data Structures,0.485,8.4,Deep Learning
S00100,22,0.039,0.356,29.1,49.3,14.2,Easy,Slow,5,Dictionaries,File I/O,Error Handling,0.679,12.2,Deep Learning
S00101,25,0.4,0.348,25.2,29.1,3.9,Easy,Slow,4,File I/O,Error Handling,OOP,0.321,17.5,Deep Learning
S00102,28,0.339,0.444,33.2,44.6,2.8,Easy,Fast,1,Operators,Conditionals,Loops,0.294,7.2,Deep Learning
S00103,23,0.13,0.301,18.7,9.0,0.7,Easy,Average,4,None,Python Basics,Variables,0.365,4.8,Deep Learning
S00104,21,0.156,0.4,39.6,50.2,9.7,Medium,Fast,5,Conditionals,Loops,Functions,0.653,2.3,Deep Learning
S00105,22,0.578,0.473,67.7,31.3,5.6,Easy,Slow,2,Data Structures,Recursion,Algorithms,0.311,18.9,Deep Learning
S00106,27,0.254,0.452,39.4,46.5,15.5,Easy,Slow,1,Data Structures,Recursion,Algorithms,0.568,15.2,Deep Learning
S00107,30,0.091,0.33,32.2,43.5,2.0,Medium,Slow,3,Python Basics,Variables,Data Types,0.232,9.6,Deep Learning
S00108,20,0.652,0.616,53.9,60.7,1.8,Hard,Average,1,Error Handling,OOP,Data Structures,0.309,13.6,Deep Learning
S00109,19,0.385,0.588,61.3,52.2,7.0,Hard,Average,2,Functions,Strings,Lists & Collections,0.324,6.9,Deep Learning
S00110,17,0.378,0.328,23.1,28.0,4.9,Medium,Fast,4,Operators,Conditionals,Loops,0.357,6.7,Deep Learning
S00111,21,0.699,0.547,61.9,53.3,5.1,Medium,Average,1,File I/O,Error Handling,OOP,0.353,7.7,Deep Learning
S00112,27,0.346,0.389,52.3,49.0,4.9,Easy,Slow,3,Operators,Conditionals,Loops,0.424,9.8,Deep Learning
S00113,20,0.412,0.438,44.6,40.3,6.4,Medium,Average,1,Loops,Functions,Strings,0.463,8.4,Deep Learning
S00114,16,0.595,0.44,51.7,49.7,5.1,Medium,Fast,3,Lists & Collections,Dictionaries,File I/O,0.518,9.8,Deep Learning
S00115,17,0.526,0.691,66.0,69.8,3.1,Medium,Slow,5,Strings,Lists & Collections,Dictionaries,0.325,15.3,Deep Learning
S00116,30,0.407,0.804,88.9,90.4,18.6,Medium,Average,2,Error Handling,OOP,Data Structures,0.735,7.9,Deep Learning
S00117,30,0.09,0.304,33.5,27.6,1.2,Medium,Slow,1,Python Basics,Variables,Data Types,0.149,12.4,Deep Learning
S00118,16,0.464,0.355,40.2,43.9,1.1,Easy,Slow,5,Conditionals,Loops,Functions,0.378,11.5,Deep Learning
S00119,16,0.426,0.53,45.2,56.7,11.8,Hard,Fast,5,OOP,Data Structures,Recursion,0.704,6.6,Deep Learning
S00120,25,0.483,0.564,48.6,52.9,7.5,Hard,Average,5,Strings,Lists & Collections,Dictionaries,0.462,6.7,Deep Learning
S00121,25,0.271,0.566,63.8,59.2,6.6,Easy,Average,2,Loops,Functions,Strings,0.452,7.4,Deep Learning
S00122,28,0.22,0.527,62.7,38.1,4.6,Hard,Average,3,Operators,Conditionals,Loops,0.327,11.2,Deep Learning
S00123,21,0.366,0.309,29.0,25.7,8.6,Medium,Slow,5,Dictionaries,File I/O,Error Handling,0.511,13.6,Deep Learning
S00124,21,0.115,0.358,38.8,28.8,6.8,Hard,Slow,3,Loops,Functions,Strings,0.382,12.6,Deep Learning
S00125,16,0.676,0.533,44.9,48.0,5.9,Easy,Average,1,Error Handling,OOP,Data Structures,0.291,13.5,Deep Learning
S00126,28,0.161,0.297,20.7,30.5,2.3,Medium,Fast,5,Variables,Data Types,Operators,0.239,2.0,Deep Learning
S00127,21,0.15,0.598,66.2,49.0,24.6,Easy,Average,1,Error Handling,OOP,Data Structures,0.89,5.6,Deep Learning
S00128,24,0.296,0.481,45.9,49.0,10.4,Easy,Average,5,Lists & Collections,Dictionaries,File I/O,0.664,5.9,Deep Learning
S00129,28,0.035,0.481,42.7,40.8,8.4,Medium,Average,2,Python Basics,Variables,Data Types,0.343,7.1,Deep Learning
S00130,27,0.414,0.524,55.4,54.6,9.3,Hard,Fast,3,Loops,Functions,Strings,0.36,7.8,Deep Learning
S00131,23,0.136,0.612,56.6,66.5,22.0,Easy,Slow,4,Data Structures,Recursion,Algorithms,0.862,11.3,Deep Learning
S00132,19,0.642,0.612,65.8,57.6,11.0,Medium,Average,5,Lists & Collections,Dictionaries,File I/O,0.666,9.0,Deep Learning
S00133,21,0.51,0.656,66.3,55.5,11.7,Medium,Average,1,Error Handling,OOP,Data Structures,0.619,6.4,Deep Learning
S00134,30,0.76,0.749,76.8,78.3,5.1,Medium,Average,5,Loops,Functions,Strings,0.435,7.6,Deep Learning
S00135,29,0.408,0.393,39.7,19.9,2.1,Easy,Slow,2,Operators,Conditionals,Loops,0.264,14.5,Deep Learning
S00136,26,0.109,0.448,45.7,52.2,7.0,Easy,Fast,2,Loops,Functions,Strings,0.46,6.5,Deep Learning
S00137,29,0.12,0.241,18.5,26.0,1.5,Easy,Fast,4,Data Types,Operators,Conditionals,0.36,5.2,Deep Learning
S00138,29,0.461,0.441,44.6,43.9,8.1,Medium,Average,4,Dictionaries,File I/O,Error Handling,0.557,12.1,Deep Learning
S00139,20,0.445,0.523,61.1,51.5,5.6,Hard,Slow,5,Loops,Functions,Strings,0.354,16.3,Deep Learning
S00140,26,0.39,0.391,40.7,44.5,5.6,Easy,Average,3,Conditionals,Loops,Functions,0.457,6.5,Deep Learning
S00141,28,0.191,0.434,37.5,33.7,11.5,Easy,Slow,3,Error Handling,OOP,Data Structures,0.546,10.6,Deep Learning
S00142,26,0.326,0.251,25.3,24.0,5.6,Medium,Slow,5,File I/O,Error Handling,OOP,0.475,16.5,Deep Learning
S00143,27,0.675,0.498,48.6,50.6,8.5,Easy,Average,2,Data Structures,Recursion,Algorithms,0.412,14.2,Deep Learning
S00144,22,0.232,0.531,53.1,52.2,12.7,Medium,Slow,2,Dictionaries,File I/O,Error Handling,0.603,9.5,Deep Learning
S00145,24,0.354,0.396,30.6,53.8,8.8,Easy,Fast,4,Lists & Collections,Dictionaries,File I/O,0.459,5.3,Deep Learning
S00146,23,0.414,0.376,32.4,37.1,3.9,Easy,Slow,4,Data Types,Operators,Conditionals,0.471,6.2,Deep Learning
S00147,23,0.363,0.572,55.8,61.5,9.4,Medium,Fast,4,Loops,Functions,Strings,0.595,5.6,Deep Learning
S00148,22,0.371,0.314,40.1,31.5,8.2,Easy,Slow,5,Lists & Collections,Dictionaries,File I/O,0.567,12.6,Deep Learning
S00149,26,0.206,0.38,56.0,31.3,1.7,Easy,Average,5,Operators,Conditionals,Loops,0.348,8.4,Deep Learning
S00150,21,0.274,0.483,50.2,60.6,5.1,Medium,Fast,2,Operators,Conditionals,Loops,0.378,6.7,Deep Learning
S00151,26,0.138,0.308,41.1,32.3,10.0,Easy,Slow,5,Conditionals,Loops,Functions,0.671,7.3,Deep Learning
S00152,16,0.511,0.749,60.5,73.2,30.0,Medium,Slow,2,Algorithms,Complexity Analysis,NumPy,1.0,8.7,Deep Learning
S00153,22,0.184,0.505,58.9,64.6,11.4,Hard,Fast,2,Lists & Collections,Dictionaries,File I/O,0.612,4.3,Deep Learning
S00154,21,0.287,0.424,53.6,39.2,5.5,Hard,Slow,2,Conditionals,Loops,Functions,0.172,16.9,Deep Learning
S00155,19,0.434,0.489,48.6,31.3,1.8,Medium,Fast,1,Functions,Strings,Lists & Collections,0.288,4.2,Deep Learning
S00156,25,0.275,0.346,28.6,19.8,4.5,Medium,Average,3,Loops,Functions,Strings,0.397,7.8,Deep Learning
S00157,16,0.148,0.164,3.3,13.8,2.0,Medium,Average,2,Data Types,Operators,Conditionals,0.296,6.2,Deep Learning
S00158,24,0.663,0.866,79.9,77.7,22.5,Easy,Fast,2,Pandas,Data Visualization,Statistics,0.88,6.1,Deep Learning
S00159,23,0.561,0.624,59.6,67.3,12.9,Easy,Average,4,Error Handling,OOP,Data Structures,0.587,7.9,Deep Learning
S00160,24,0.836,0.455,42.4,57.4,2.5,Easy,Slow,5,Error Handling,OOP,Data Structures,0.374,15.2,Deep Learning
S00161,21,0.238,0.336,35.2,33.3,7.7,Medium,Average,3,File I/O,Error Handling,OOP,0.505,9.1,Deep Learning
S00162,24,0.531,0.429,27.6,38.0,4.3,Easy,Average,1,Lists & Collections,Dictionaries,File I/O,0.355,12.0,Deep Learning
S00163,25,0.391,0.775,83.1,78.6,19.3,Medium,Average,3,NumPy,Pandas,Data Visualization,0.828,6.9,Deep Learning
S00164,32,0.517,0.516,59.2,46.7,6.4,Easy,Slow,1,Operators,Conditionals,Loops,0.47,11.4,Deep Learning
S00165,25,0.281,0.397,39.3,35.3,1.6,Hard,Fast,3,Conditionals,Loops,Functions,0.187,10.9,Deep Learning
S00166,16,0.49,0.513,61.7,54.5,0.9,Easy,Average,3,Conditionals,Loops,Functions,0.3,11.4,Deep Learning
S00167,34,0.545,0.365,39.1,29.1,1.3,Easy,Slow,3,Dictionaries,File I/O,Error Handling,0.207,21.3,Deep Learning
S00168,32,0.214,0.512,45.4,70.7,10.3,Hard,Average,3,Dictionaries,File I/O,Error Handling,0.548,9.9,Deep Learning
S00169,16,0.205,0.498,42.8,48.0,14.7,Hard,Average,5,Lists & Collections,Dictionaries,File I/O,0.748,5.3,Deep Learning
S00170,16,0.589,0.409,36.1,54.8,4.3,Medium,Fast,2,File I/O,Error Handling,OOP,0.396,6.6,Deep Learning
S00171,23,0.726,0.665,74.9,63.5,8.0,Medium,Fast,2,File I/O,Error Handling,OOP,0.483,7.7,Deep Learning
S00172,20,0.649,0.99,91.6,81.9,18.5,Easy,Slow,5,Complexity Analysis,NumPy,Pandas,0.885,7.9,Deep Learning
S00173,23,0.422,0.493,46.5,46.9,10.2,Medium,Slow,2,OOP,Data Structures,Recursion,0.528,14.4,Deep Learning
S00174,28,0.548,0.679,66.4,76.9,9.6,Medium,Slow,4,Lists & Collections,Dictionaries,File I/O,0.56,10.0,Deep Learning
S00175,24,0.048,0.36,37.0,39.5,2.4,Hard,Fast,5,Variables,Data Types,Operators,0.196,6.9,Deep Learning
S00176,17,0.497,0.562,55.7,46.0,9.9,Easy,Fast,5,Data Structures,Recursion,Algorithms,0.492,8.1,Deep Learning
S00177,24,0.6,0.711,83.9,59.7,17.0,Medium,Average,4,OOP,Data Structures,Recursion,0.724,7.1,Deep Learning
S00178,34,0.356,0.412,28.8,50.4,6.3,Medium,Slow,3,Strings,Lists & Collections,Dictionaries,0.494,11.9,Deep Learning
S00179,21,0.531,0.437,48.9,51.5,5.5,Easy,Average,2,OOP,Data Structures,Recursion,0.259,13.1,Deep Learning
S00180,20,0.648,0.859,84.8,82.1,21.7,Medium,Fast,3,NumPy,Pandas,Data Visualization,1.0,5.0,Deep Learning
S00181,21,0.282,0.511,47.9,64.4,10.6,Easy,Fast,4,Strings,Lists & Collections,Dictionaries,0.608,3.4,Deep Learning
S00182,20,0.658,0.547,47.8,47.0,6.1,Easy,Average,2,Data Structures,Recursion,Algorithms,0.318,16.8,Deep Learning
S00183,16,0.527,0.594,64.7,67.0,5.6,Medium,Slow,1,Functions,Strings,Lists & Collections,0.29,13.8,Deep Learning
S00184,28,0.21,0.842,77.2,88.6,23.7,Hard,Slow,1,Strings,Lists & Collections,Dictionaries,0.809,8.5,Deep Learning
S00185,25,0.609,0.644,71.2,63.0,11.1,Medium,Average,5,OOP,Data Structures,Recursion,0.703,11.3,Deep Learning
S00186,25,0.425,0.299,33.4,43.6,2.0,Medium,Average,1,Functions,Strings,Lists & Collections,0.26,10.9,Deep Learning
S00187,16,0.604,0.51,56.3,61.3,0.7,Hard,Slow,4,Functions,Strings,Lists & Collections,0.199,15.9,Deep Learning
S00188,27,0.462,0.442,35.8,53.0,10.0,Easy,Fast,2,OOP,Data Structures,Recursion,0.433,7.3,Deep Learning
S00189,28,0.181,0.35,48.2,35.0,5.4,Hard,Average,3,Loops,Functions,Strings,0.205,11.4,Deep Learning
S00190,35,0.778,0.607,66.4,63.2,4.2,Medium,Fast,5,Dictionaries,File I/O,Error Handling,0.388,7.0,Deep Learning
S00191,19,0.39,0.649,63.9,66.9,18.2,Medium,Slow,2,OOP,Data Structures,Recursion,0.85,12.1,Deep Learning
S00192,28,0.473,0.524,53.7,69.9,5.8,Medium,Average,1,Strings,Lists & Collections,Dictionaries,0.309,9.3,Deep Learning
S00193,25,0.342,0.465,41.0,45.3,7.3,Medium,Average,2,Dictionaries,File I/O,Error Handling,0.443,13.4,Deep Learning
S00194,23,0.594,0.541,65.5,53.6,5.3,Easy,Slow,5,File I/O,Error Handling,OOP,0.544,11.7,Deep Learning
S00195,19,0.113,0.422,49.6,39.8,16.6,Medium,Fast,1,Lists & Collections,Dictionaries,File I/O,0.765,8.6,Deep Learning
S00196,21,0.203,0.211,12.5,34.6,4.5,Hard,Fast,5,Strings,Lists & Collections,Dictionaries,0.359,4.9,Deep Learning
S00197,22,0.626,0.576,58.6,56.7,9.1,Medium,Average,4,Recursion,Algorithms,Complexity Analysis,0.503,11.2,Deep Learning
S00198,31,0.439,0.575,51.0,49.4,5.6,Easy,Average,4,Strings,Lists & Collections,Dictionaries,0.461,7.0,Deep Learning
S00199,17,0.404,0.64,67.1,82.7,15.9,Hard,Slow,1,Data Structures,Recursion,Algorithms,0.657,14.8,Deep Learning
S00200,25,0.062,0.361,37.7,31.4,7.4,Medium,Slow,4,Data Types,Operators,Conditionals,0.406,9.4,Deep Learning
S00201,17,0.141,0.293,43.4,34.7,4.4,Easy,Slow,5,Strings,Lists & Collections,Dictionaries,0.402,10.7,Deep Learning
S00202,28,0.556,0.737,79.1,76.3,8.2,Easy,Slow,4,Strings,Lists & Collections,Dictionaries,0.58,8.4,Deep Learning
S00203,23,0.2,0.439,46.5,49.9,11.9,Easy,Fast,3,Error Handling,OOP,Data Structures,0.539,6.3,Deep Learning
S00204,20,0.168,0.499,51.7,46.3,10.8,Easy,Average,4,Functions,Strings,Lists & Collections,0.639,7.6,Deep Learning
S00205,23,0.623,0.442,39.4,43.8,10.0,Medium,Average,2,OOP,Data Structures,Recursion,0.55,11.6,Deep Learning
